perturbation_type,delta,seed,fitness,base_obj,mean_loss,q95_loss,max_loss
alt_subset_seed,NA,9001,1.088585776411131,1.027966675263133,0.8865287797726913,1.4695711488330274,2.2253870373369953
weight_jitter,0.02,9001,1.2563257665960843,1.2018426924174135,0.8898246907798518,2.007362163920972,4.262433464788726
alt_subset_seed,NA,9002,1.0066934969739505,0.9502323108198082,0.7805515674675105,1.3724686372772654,2.075091312099539
weight_jitter,0.02,9002,1.189320923782899,1.1362640473192671,0.8226910457294663,1.8743482146315948,4.503617483562753
alt_subset_seed,NA,9003,0.8703131383597458,0.8178665376461532,0.6589391819663043,1.1984396882996218,3.1593906196252606
weight_jitter,0.02,9003,0.8954362639969525,0.8474840681514674,0.6401155201323622,1.3153633787527705,4.227377515753284
alt_subset_seed,NA,9004,0.8732157327595357,0.820446062046465,0.6611088437108763,1.209805618326191,3.4181225897151597
weight_jitter,0.02,9004,0.9639669344412988,0.9158052488461459,0.6541869935951256,1.4072816231637792,4.643762413800206
alt_subset_seed,NA,9005,1.1038365180213567,1.0448463295466517,0.8532285889923324,1.4606866489692079,3.255703529233144
weight_jitter,0.02,9005,1.1212858403252846,1.0682097485908222,0.8044953194917244,1.570633130610012,4.667333040154185
alt_subset_seed,NA,9006,0.8617268442251943,0.8088906678184179,0.664135394768669,1.1600518023674598,3.0704377186925003
weight_jitter,0.02,9006,1.1570580818860354,1.107292151356443,0.7656089910125875,1.9354742101584255,7.881702545631816
